visitorID,dateVisited,hours,foodbankAddress,foodbankID
859,2/16/2024,8,5 Scoville Place,170
4,2/19/2024,0,5 Melvin Trail,561
280,2/8/2024,3,49840 Arapahoe Court,61
535,7/16/2023,5,187 Heath Junction,393
665,2/24/2024,4,58229 Johnson Place,390
736,8/21/2023,3,76447 Novick Park,309
681,10/31/2023,6,5618 Riverside Street,494
674,12/15/2023,7,80 Little Fleur Plaza,315
377,10/15/2023,4,66 Mosinee Road,481
178,11/2/2023,0,38056 Westport Terrace,402
786,4/27/2023,7,019 Division Court,473
857,8/10/2023,6,2401 Forest Run Drive,525
682,11/4/2023,7,55178 Sycamore Road,230
708,1/19/2024,4,92052 Butterfield Hill,143
854,9/23/2023,7,13783 Anzinger Circle,598
295,6/4/2023,7,81689 North Point,374
998,2/21/2024,0,3830 Pleasure Parkway,996
706,1/3/2024,3,4265 Ridgeview Court,719
626,4/30/2023,0,1266 Kinsman Hill,664
155,3/22/2024,4,3132 Norway Maple Way,655
53,9/14/2023,2,05 Springview Drive,847
786,1/16/2024,0,2 Caliangt Park,728
956,5/28/2023,6,716 Sommers Avenue,735
121,12/18/2023,5,148 Troy Alley,457
379,6/9/2023,0,960 Hollow Ridge Place,568
131,10/22/2023,1,6886 Cambridge Junction,187
219,10/5/2023,4,71 Tennessee Hill,298
949,11/18/2023,2,507 East Terrace,870
979,4/27/2023,7,01856 Fisk Parkway,618
447,6/18/2023,2,79 4th Road,636
850,4/3/2024,1,3 Crownhardt Way,625
128,7/17/2023,1,829 Mockingbird Trail,302
851,2/14/2024,5,662 Porter Place,810
379,12/9/2023,4,09043 Dawn Court,340
279,4/26/2023,6,9 Dakota Lane,399
617,2/29/2024,8,2 Morningstar Center,911
706,8/25/2023,6,174 Blue Bill Park Alley,258
185,10/16/2023,7,765 Bultman Circle,733
921,4/28/2023,7,9627 John Wall Avenue,90
237,1/14/2024,0,0 Longview Lane,860
891,10/3/2023,8,775 Bunting Street,481
16,1/8/2024,3,01 Magdeline Crossing,928
609,2/11/2024,7,39096 Springs Court,558
868,12/16/2023,1,85874 Fair Oaks Park,858
388,8/22/2023,8,49209 Burrows Way,557
625,3/10/2024,5,9 Quincy Junction,360
682,1/8/2024,8,50 Boyd Street,131
259,7/16/2023,1,8 Dakota Pass,453
591,9/9/2023,4,79 Upham Crossing,510
779,11/2/2023,6,527 Lillian Park,638
616,3/19/2024,4,525 Vidon Parkway,46
545,3/23/2024,3,9257 Jenna Center,975
143,12/12/2023,1,451 Lyons Plaza,535
986,8/28/2023,7,02224 Di Loreto Circle,210
935,1/17/2024,3,56468 Hanover Circle,208
834,3/11/2024,2,79 Mallard Drive,82
314,6/10/2023,2,8 Graceland Trail,575
323,5/26/2023,5,97 Morning Lane,304
816,10/10/2023,7,1 Village Green Drive,277
366,8/26/2023,1,709 Melby Trail,837
835,12/10/2023,7,12 Knutson Trail,449
811,7/8/2023,6,775 Northfield Park,463
447,10/9/2023,8,07 Jackson Alley,921
684,12/28/2023,5,6 Columbus Drive,763
474,3/4/2024,4,5328 Gulseth Junction,886
387,8/31/2023,4,2 Thompson Lane,596
966,3/10/2024,2,50097 Larry Point,868
77,12/2/2023,0,724 Vera Way,408
645,2/19/2024,5,18713 Surrey Way,509
487,4/11/2023,1,2146 Lien Terrace,113
933,4/7/2024,6,8 Bartillon Junction,836
992,12/14/2023,5,28 Norway Maple Way,449
810,11/4/2023,2,62 Rigney Terrace,44
330,4/30/2023,6,65 Leroy Crossing,474
26,6/11/2023,8,8 Talisman Avenue,704
121,12/26/2023,1,352 Hollow Ridge Road,983
910,4/11/2023,5,76 Little Fleur Plaza,32
773,8/13/2023,2,8988 4th Pass,505
493,3/19/2024,6,52 Melby Alley,870
197,2/7/2024,4,93992 Golf Street,75
502,8/15/2023,7,7 Buell Trail,446
118,5/2/2023,4,974 Mallory Park,93
128,9/19/2023,0,9334 Di Loreto Road,590
664,5/25/2023,3,06247 Fremont Alley,922
468,8/23/2023,3,087 Pine View Plaza,303
695,5/30/2023,1,5317 Gina Way,394
734,11/1/2023,7,33 Commercial Parkway,361
663,12/28/2023,7,57 Roth Parkway,911
703,2/23/2024,5,204 Waxwing Center,416
750,2/23/2024,7,46 Armistice Crossing,91
171,1/1/2024,2,25 Hintze Pass,397
899,7/2/2023,8,3 Scoville Road,232
625,5/2/2023,3,61 Tennessee Center,601
373,1/23/2024,5,38 Susan Trail,721
623,4/12/2023,7,085 Vera Road,464
171,3/20/2024,6,734 Lindbergh Trail,923
596,12/12/2023,6,26839 Mosinee Pass,16
630,2/27/2024,3,492 Armistice Center,843
936,11/19/2023,6,6 Farmco Point,634
375,8/21/2023,4,2821 Westridge Court,58
542,9/6/2023,6,2 Dottie Street,707
639,6/10/2023,0,128 Browning Trail,790
543,3/8/2024,3,12 Spaight Junction,638
327,10/28/2023,1,66 Moose Hill,35
508,10/1/2023,5,96463 Delladonna Hill,843
548,6/8/2023,5,45 Sauthoff Parkway,577
792,3/2/2024,5,094 Katie Pass,257
268,11/17/2023,3,0745 Loftsgordon Way,664
851,3/16/2024,4,392 Barby Trail,576
747,4/30/2023,6,597 Chinook Alley,690
742,10/29/2023,7,39097 Rockefeller Way,261
629,9/28/2023,0,33 Blackbird Junction,586
363,4/15/2023,3,4308 Express Street,425
85,11/5/2023,8,3 Granby Parkway,699
273,12/26/2023,0,07 Kedzie Plaza,325
699,12/7/2023,3,206 Holmberg Crossing,519
861,1/5/2024,4,340 Weeping Birch Crossing,96
740,7/24/2023,8,9861 Dexter Pass,948
319,7/2/2023,8,06 Old Gate Center,338
859,10/22/2023,1,1728 Saint Paul Drive,96
276,1/3/2024,5,63603 Messerschmidt Crossing,882
217,6/22/2023,7,24674 Lerdahl Trail,213
258,1/29/2024,7,47 Jenna Place,681
838,5/1/2023,4,09850 Carberry Crossing,135
796,12/21/2023,6,5220 Nobel Avenue,429
793,4/30/2023,1,95 Messerschmidt Lane,794
588,9/30/2023,1,4 Grover Place,856
140,6/4/2023,1,82 Longview Pass,670
437,4/15/2023,1,7876 Buhler Center,291
99,5/10/2023,7,69 Riverside Alley,453
544,4/29/2023,7,0 Chive Trail,302
518,5/4/2023,6,7 Pennsylvania Avenue,928
532,4/29/2023,0,885 Fallview Plaza,107
109,6/12/2023,6,1 Erie Drive,45
3,5/18/2023,6,54 Red Cloud Crossing,792
645,6/6/2023,2,78096 Namekagon Junction,996
451,9/15/2023,1,6901 Riverside Pass,552
687,6/29/2023,0,39 Hollow Ridge Way,575
805,6/14/2023,6,686 Mallory Lane,352
650,3/7/2024,5,2 West Hill,76
578,5/14/2023,3,46 La Follette Hill,187
437,2/26/2024,6,71549 Texas Center,958
671,10/13/2023,5,795 Ridgeway Junction,727
623,4/18/2023,1,4483 Gale Lane,868
700,6/7/2023,6,2 Logan Center,497
446,7/18/2023,0,39 Elgar Pass,311
241,1/16/2024,8,9 Fordem Hill,649
919,7/12/2023,5,41 Eliot Avenue,282
452,3/10/2024,1,50916 Marquette Junction,673
513,6/18/2023,3,602 Basil Way,223
181,10/4/2023,0,038 Steensland Crossing,833
288,12/10/2023,6,36 Lukken Avenue,984
214,2/22/2024,3,87 Mendota Trail,556
772,10/15/2023,6,57786 Rockefeller Trail,824
340,9/26/2023,1,0639 Springs Junction,195
625,3/7/2024,0,1192 Dayton Plaza,965
978,2/4/2024,4,47 Melrose Alley,87
514,5/10/2023,1,7 Mesta Lane,734
357,10/1/2023,4,1025 Towne Drive,495
813,8/29/2023,6,55241 Straubel Hill,109
279,7/21/2023,4,549 Canary Park,772
663,9/8/2023,1,08167 Tony Way,417
9,8/13/2023,1,0270 Cherokee Place,340
220,9/6/2023,4,807 Huxley Terrace,786
932,3/19/2024,6,690 Roxbury Road,45
240,1/27/2024,5,9 Arkansas Park,988
667,4/23/2023,1,24 Kipling Circle,93
904,6/15/2023,6,876 Grover Point,859
734,2/23/2024,1,75 Melrose Parkway,9
187,7/17/2023,5,6259 Arkansas Crossing,692
742,7/7/2023,5,35 Mesta Terrace,165
152,1/29/2024,5,1 Harbort Junction,312
848,7/3/2023,2,74807 Schlimgen Lane,329
842,8/20/2023,6,458 Bluejay Lane,888
814,1/17/2024,0,22521 Hoffman Park,834
726,12/24/2023,3,10 Marcy Lane,969
977,5/9/2023,0,0099 Hagan Circle,223
724,9/5/2023,5,7 Crescent Oaks Parkway,930
175,3/26/2024,0,448 Main Junction,198
404,2/13/2024,3,0 Anhalt Hill,173
594,12/27/2023,7,99643 Sloan Avenue,408
144,8/4/2023,1,9 Troy Court,556
906,9/26/2023,7,1 South Circle,16
94,12/20/2023,5,51072 American Park,586
301,12/12/2023,4,98401 Russell Place,549
645,3/10/2024,5,92601 Village Green Street,972
84,5/21/2023,0,3 Surrey Junction,335
393,5/4/2023,4,84 Pleasure Place,986
935,12/21/2023,2,20 Pankratz Terrace,949
695,3/27/2024,0,03253 Donald Terrace,93
830,10/27/2023,7,382 Westend Plaza,515
552,4/3/2024,3,3 Ruskin Avenue,266
936,9/26/2023,8,207 Eastwood Parkway,149
315,1/18/2024,1,65029 Gulseth Center,283
342,1/4/2024,1,8936 Barnett Junction,405
22,9/26/2023,3,1 Nobel Street,88
113,7/21/2023,8,3 Kennedy Road,340
986,5/26/2023,3,2360 8th Point,169
977,6/1/2023,7,4940 Warbler Point,222
738,7/31/2023,5,919 Hooker Terrace,179
151,8/17/2023,2,36469 Pearson Court,798
491,8/17/2023,8,23318 Upham Junction,748
651,8/15/2023,0,8852 Hoepker Circle,957
220,5/12/2023,5,0215 Macpherson Plaza,645
657,12/5/2023,3,81 Ruskin Junction,590
461,2/28/2024,8,532 Di Loreto Way,1
160,7/14/2023,2,2 Sunfield Hill,331
924,6/27/2023,6,607 Hudson Plaza,482
319,5/3/2023,3,5 Springview Trail,625
338,12/7/2023,6,49 Spaight Avenue,190
828,2/1/2024,8,28526 Delladonna Place,981
147,11/20/2023,5,3 Springs Alley,131
432,10/29/2023,2,447 Grayhawk Crossing,333
220,2/17/2024,4,4864 Union Place,286
767,6/22/2023,6,1621 Sugar Trail,810
537,3/31/2024,4,7777 Towne Place,477
709,12/31/2023,5,1865 Gina Alley,960
416,5/28/2023,3,76 Holy Cross Crossing,960
635,4/28/2023,1,91777 Butternut Alley,221
348,12/31/2023,6,224 Charing Cross Circle,633
59,9/20/2023,6,0 Loomis Circle,716
957,4/29/2023,2,48 Novick Park,636
382,3/4/2024,4,78773 Pond Avenue,709
314,1/25/2024,7,02655 Chinook Hill,118
397,4/5/2024,1,9852 Tony Drive,177
42,12/31/2023,1,61 Kinsman Center,221
410,5/27/2023,1,1706 Anniversary Road,466
808,5/14/2023,1,79 Talisman Avenue,108
978,3/30/2024,2,96495 Sachs Trail,183
456,8/22/2023,6,40076 Melody Center,496
603,2/6/2024,8,4646 Erie Circle,413
12,3/11/2024,3,370 Pond Circle,161
361,2/12/2024,6,77 Cherokee Avenue,64
493,2/17/2024,3,9193 Del Mar Junction,443
792,3/27/2024,5,8 Lillian Place,22
725,2/23/2024,4,321 Morning Trail,511
966,1/19/2024,2,3772 Melrose Hill,422
833,3/6/2024,4,714 Katie Drive,23
465,5/30/2023,3,7 Comanche Avenue,648
647,12/12/2023,2,5107 Holy Cross Hill,638
2,12/28/2023,0,011 Fairview Place,448
483,1/5/2024,7,3 Talisman Street,862
955,7/10/2023,5,62 Pearson Road,588
921,6/5/2023,2,73 Rutledge Lane,214
371,7/4/2023,4,1 Karstens Road,930
301,7/22/2023,1,3534 Gina Point,233
193,12/17/2023,2,10981 Homewood Pass,594
418,12/5/2023,6,0022 Farwell Street,137
318,6/21/2023,0,68161 Cardinal Parkway,659
358,4/14/2023,7,37437 Sachs Junction,578
516,5/14/2023,2,6006 Ryan Place,596
372,8/27/2023,2,60 Old Shore Junction,843
453,4/17/2023,2,78 Rieder Court,698
788,10/27/2023,6,89716 Cascade Court,560
911,9/1/2023,8,23366 Petterle Plaza,899
714,10/11/2023,2,724 Lake View Park,356
5,12/24/2023,0,19637 Marcy Avenue,269
613,8/11/2023,5,37 Stang Plaza,81
925,1/15/2024,8,78 8th Circle,947
95,12/12/2023,5,386 Schiller Drive,473
942,3/20/2024,6,703 Pankratz Lane,962
307,5/15/2023,8,7194 Hovde Road,346
413,2/5/2024,2,45202 Michigan Avenue,593
335,8/24/2023,5,409 Hudson Drive,203
354,3/4/2024,8,9595 Stephen Drive,347
12,8/23/2023,1,6 Redwing Terrace,987
293,2/2/2024,0,6 Glacier Hill Alley,700
685,9/24/2023,7,7562 Sycamore Pass,277
656,7/14/2023,4,672 Old Gate Road,127
341,3/5/2024,4,4550 Novick Center,829
114,8/14/2023,2,81481 Milwaukee Drive,474
914,2/11/2024,2,17 Banding Park,742
947,6/24/2023,5,4 Upham Terrace,446
228,2/9/2024,6,839 Lukken Hill,875
316,1/16/2024,1,8 Caliangt Drive,891
810,4/22/2023,1,44113 Golf Course Trail,34
774,3/31/2024,7,319 Linden Center,891
258,5/30/2023,2,30 Pawling Plaza,488
622,12/26/2023,5,7 Service Center,12
185,9/29/2023,2,2 Everett Circle,116
191,4/18/2023,2,01896 Walton Drive,904
460,12/8/2023,3,2 Westport Road,805
337,2/24/2024,0,15 Fairfield Park,670
865,6/8/2023,7,88620 Anniversary Circle,889
480,1/8/2024,8,00815 Oneill Drive,574
897,4/6/2024,7,73 Ruskin Lane,304
815,7/24/2023,8,7283 Bobwhite Plaza,91
195,10/17/2023,8,3 Mitchell Trail,202
695,4/10/2023,8,869 Hagan Park,498
656,4/25/2023,2,98 Sherman Avenue,961
226,9/14/2023,8,47731 North Drive,538
153,8/1/2023,5,116 Granby Park,992
818,4/22/2023,7,40232 Cascade Crossing,891
505,9/4/2023,6,6199 Del Mar Crossing,340
407,7/21/2023,2,51 Crescent Oaks Trail,417
513,3/28/2024,8,2 Lakeland Place,873
119,2/24/2024,8,9 David Terrace,878
670,3/15/2024,0,216 Pankratz Road,931
263,5/27/2023,8,62732 Victoria Plaza,40
749,5/29/2023,4,7013 Buena Vista Court,398
743,5/3/2023,5,3278 Ryan Lane,221
606,6/17/2023,1,24825 Randy Terrace,812
999,8/31/2023,8,687 Paget Street,571
326,9/19/2023,7,02 Briar Crest Junction,732
412,1/24/2024,1,44506 Carioca Park,344
568,8/26/2023,4,535 Mccormick Plaza,171
478,8/28/2023,0,376 Amoth Street,15
649,8/5/2023,2,34607 Coolidge Way,123
91,7/23/2023,0,2679 Lien Parkway,965
320,7/27/2023,6,30 Meadow Valley Crossing,92
913,2/9/2024,4,757 Lillian Point,677
544,3/26/2024,8,3885 Vernon Center,67
776,3/11/2024,7,02 Dexter Park,47
743,2/21/2024,7,1737 Rutledge Junction,439
267,7/27/2023,2,187 Morrow Street,73
325,12/28/2023,4,463 Steensland Parkway,830
288,6/19/2023,1,31 Talmadge Street,613
676,5/22/2023,5,09 American Parkway,723
507,4/19/2023,8,489 Daystar Crossing,80
824,7/12/2023,1,00508 Schlimgen Plaza,755
158,12/30/2023,0,95 Barnett Drive,961
889,3/7/2024,0,7603 Valley Edge Hill,164
794,2/8/2024,2,6 Carpenter Alley,356
750,9/25/2023,6,97 Johnson Plaza,864
615,5/10/2023,4,6734 Shelley Court,3
109,10/25/2023,7,7 Caliangt Place,915
924,10/12/2023,2,01 La Follette Hill,557
820,6/30/2023,3,2 Manitowish Lane,636
343,2/13/2024,8,7 Fairfield Junction,640
924,9/14/2023,7,836 Arapahoe Plaza,388
33,8/23/2023,3,9244 Oakridge Center,17
38,3/20/2024,6,75436 Donald Way,133
298,5/24/2023,6,9714 Surrey Terrace,690
218,7/7/2023,7,2 Division Street,9
881,3/13/2024,1,752 Melby Parkway,131
568,10/29/2023,1,667 Buena Vista Park,980
225,5/23/2023,3,38852 Portage Trail,498
544,5/13/2023,2,938 Rowland Place,340
159,4/10/2023,4,6 Manufacturers Drive,142
147,10/15/2023,6,436 Main Drive,445
111,2/25/2024,5,03713 Crownhardt Street,465
231,2/17/2024,2,6050 Sloan Junction,470
214,6/22/2023,3,68 Manitowish Street,620
690,12/6/2023,5,28 Pleasure Way,69
37,10/31/2023,6,139 Portage Terrace,146
51,6/6/2023,6,24491 Hanson Park,118
261,5/21/2023,5,837 Ohio Center,514
61,4/27/2023,5,185 Sugar Terrace,705
627,4/24/2023,5,65721 1st Avenue,503
415,9/6/2023,0,82572 Colorado Way,729
787,5/6/2023,3,74157 Ryan Junction,359
971,1/16/2024,5,431 Dovetail Terrace,492
177,6/20/2023,3,6305 Cody Court,548
141,6/18/2023,7,149 Clyde Gallagher Drive,254
331,7/4/2023,0,624 Steensland Crossing,789
177,3/16/2024,3,9 Brickson Park Place,626
971,12/20/2023,8,1411 Melvin Park,289
271,5/5/2023,5,75 Dorton Place,945
29,5/13/2023,0,76318 Summerview Alley,270
46,9/27/2023,7,8681 Stoughton Junction,435
734,6/16/2023,8,1 Loeprich Junction,93
961,7/21/2023,6,4517 Graceland Court,86
187,1/17/2024,2,093 Burrows Crossing,325
885,10/18/2023,2,94100 Clyde Gallagher Trail,623
909,7/9/2023,7,519 Florence Circle,430
695,10/24/2023,8,0148 Fallview Alley,958
424,10/19/2023,0,589 Hauk Circle,319
429,5/10/2023,6,52215 Summit Drive,589
634,10/27/2023,6,0 Bobwhite Plaza,949
143,8/5/2023,8,7527 Farwell Parkway,692
689,9/28/2023,5,82 Fulton Terrace,472
564,8/23/2023,4,53 Oakridge Junction,770
910,7/27/2023,2,69873 Colorado Center,299
832,7/27/2023,1,536 Comanche Crossing,879
64,11/13/2023,5,87 Oak Valley Road,641
621,1/25/2024,4,86 Redwing Way,548
227,1/19/2024,8,423 Dovetail Trail,931
398,2/22/2024,5,99 Buena Vista Point,578
149,3/17/2024,8,6 Dayton Crossing,669
684,1/7/2024,1,62766 Carpenter Terrace,55
358,2/3/2024,1,68704 Sunfield Center,533
588,11/16/2023,3,2801 Ryan Alley,941
969,3/25/2024,8,392 Oak Point,36
771,9/29/2023,3,1 Milwaukee Hill,305
174,10/29/2023,5,0578 Bultman Terrace,786
203,2/11/2024,2,340 Scoville Junction,462
986,6/22/2023,6,2988 Ohio Crossing,8
611,12/31/2023,3,57823 Haas Trail,574
819,8/2/2023,8,8243 Holmberg Parkway,197
97,5/23/2023,1,45652 Corscot Crossing,810
527,6/27/2023,5,12 Granby Park,331
986,2/15/2024,0,2 Linden Trail,714
348,2/21/2024,1,91 Bunker Hill Way,477
510,2/18/2024,6,85917 Sunnyside Avenue,675
986,5/23/2023,1,71400 Drewry Avenue,893
218,6/23/2023,3,97359 Moland Center,68
820,12/19/2023,8,3949 Hazelcrest Avenue,559
703,10/20/2023,0,439 Lunder Center,907
151,12/19/2023,3,002 Superior Terrace,164
451,9/14/2023,3,1 Garrison Trail,248
267,9/2/2023,3,313 Blackbird Hill,295
373,7/26/2023,1,6839 Macpherson Junction,790
136,5/3/2023,0,54475 Golden Leaf Terrace,878
481,3/17/2024,3,0788 Mayfield Place,525
670,6/24/2023,7,55091 Hazelcrest Drive,986
545,2/27/2024,2,72106 Bellgrove Junction,748
885,4/19/2023,8,1 Marquette Plaza,667
633,6/29/2023,4,98 Northridge Crossing,820
559,8/14/2023,1,530 Kingsford Avenue,962
227,1/21/2024,3,1 Morningstar Circle,157
658,3/14/2024,3,217 Esch Place,386
801,12/31/2023,0,617 Eastwood Point,638
200,12/30/2023,2,563 Bowman Circle,594
399,2/21/2024,0,667 Mandrake Way,663
642,3/17/2024,4,2855 Bluestem Crossing,825
446,9/17/2023,6,9963 8th Junction,473
95,6/29/2023,3,7092 Truax Lane,290
642,4/21/2023,6,1 Vidon Street,282
786,6/2/2023,8,3486 Melody Terrace,735
495,9/27/2023,2,3 Amoth Parkway,653
338,9/1/2023,5,49 Oriole Court,888
33,2/8/2024,7,5 Briar Crest Pass,682
681,8/31/2023,3,39 Del Sol Court,656
992,3/1/2024,1,831 Oak Circle,81
622,2/9/2024,4,7 Burning Wood Court,680
400,3/25/2024,4,614 Magdeline Center,929
400,1/26/2024,3,12466 Muir Trail,7
737,5/8/2023,3,647 East Avenue,151
502,9/30/2023,0,3 Hoffman Circle,759
675,4/2/2024,8,21 Pine View Point,762
988,1/26/2024,6,476 Marcy Plaza,285
252,7/30/2023,1,7313 Clemons Circle,245
343,6/30/2023,0,12 Hanson Trail,707
712,2/1/2024,7,21 Londonderry Avenue,463
330,1/3/2024,0,84521 Monterey Junction,490
356,9/8/2023,8,31631 Brentwood Lane,563
579,10/4/2023,5,31518 Schmedeman Terrace,248
503,6/3/2023,6,3876 Coolidge Road,550
422,10/16/2023,5,7 Merrick Crossing,653
383,3/31/2024,7,97504 Russell Hill,422
171,8/22/2023,1,3426 Little Fleur Alley,590
210,5/21/2023,4,8434 Carpenter Court,533
183,7/15/2023,1,09 Florence Hill,722
367,2/23/2024,4,933 Erie Junction,21
821,4/9/2023,5,34422 Glendale Junction,558
954,9/20/2023,3,85526 Fairview Pass,956
392,5/1/2023,8,66 Meadow Ridge Plaza,625
390,8/11/2023,8,7572 Melby Street,740
480,11/6/2023,1,069 South Park,34
114,3/30/2024,6,73098 Homewood Place,699
490,2/27/2024,6,0658 Debra Avenue,695
87,7/20/2023,1,72 Blue Bill Park Way,674
4,6/22/2023,6,0881 Rigney Trail,872
262,2/5/2024,0,4707 Sage Lane,861
644,7/4/2023,6,56 Dorton Avenue,37
820,7/24/2023,3,2 Schurz Place,457
8,10/25/2023,1,2 Briar Crest Street,24
657,6/10/2023,8,9 Waxwing Hill,142
572,10/30/2023,3,7152 Colorado Street,679
989,5/22/2023,1,7 Westerfield Park,649
358,10/14/2023,7,28696 Thierer Circle,564
340,3/7/2024,1,439 Dexter Court,412
300,3/14/2024,6,055 Katie Place,540
977,3/29/2024,0,599 Briar Crest Circle,436
970,4/28/2023,6,92794 Trailsway Terrace,598
174,12/6/2023,1,45664 Moose Park,95
735,9/16/2023,1,8 Walton Street,669
810,1/24/2024,0,26 Carioca Point,883
979,8/26/2023,6,4519 Browning Junction,56
423,12/31/2023,3,473 Village Road,380
201,5/5/2023,3,9365 Washington Alley,769
951,1/14/2024,3,642 Havey Hill,969
484,1/27/2024,7,760 Mendota Place,673
785,2/28/2024,7,9276 Dapin Place,409
62,6/1/2023,8,9 Sugar Parkway,591
147,3/4/2024,4,0 Claremont Street,576
118,5/12/2023,4,15100 Northport Avenue,480
453,11/4/2023,3,8 5th Road,30
316,8/10/2023,6,23 Mcbride Way,298
892,3/22/2024,8,74802 Buena Vista Place,376
963,4/28/2023,5,80467 Sundown Trail,329
412,3/21/2024,8,22 Carpenter Crossing,952
247,5/31/2023,1,728 Ridgeview Center,888
43,11/20/2023,5,09 Fordem Circle,612
897,11/20/2023,5,663 Thierer Parkway,214
53,6/5/2023,3,0 Corben Lane,609
865,4/27/2023,6,5949 Mandrake Crossing,478
402,3/9/2024,0,76 Dawn Trail,658
564,1/28/2024,5,9 Longview Street,348
426,10/13/2023,4,1912 Londonderry Drive,560
12,5/11/2023,5,36 Glendale Road,544
958,10/31/2023,7,2764 Mayfield Crossing,34
189,9/7/2023,0,05 Dexter Junction,1000
526,2/11/2024,4,696 Reinke Drive,574
861,4/6/2024,5,74568 Union Junction,666
526,9/1/2023,1,14094 Springs Trail,46
547,11/2/2023,7,8539 Vahlen Lane,845
976,3/30/2024,4,11787 Donald Plaza,384
822,2/11/2024,7,71885 Elka Circle,182
